Date,USGG2YR Index
7/28/1977,6.489
7/29/1977,6.509
8/1/1977,6.499
8/2/1977,6.549
8/3/1977,6.539
8/4/1977,6.529
8/5/1977,6.539
8/8/1977,6.529
8/9/1977,6.589
8/10/1977,6.599
8/11/1977,6.649
8/12/1977,6.689
8/15/1977,6.719
8/16/1977,6.749
8/17/1977,6.729
8/18/1977,6.689
8/19/1977,6.679
8/22/1977,6.669
8/23/1977,6.649
8/24/1977,6.679
8/25/1977,6.629
8/26/1977,6.629
8/29/1977,6.569
8/30/1977,6.569
8/31/1977,6.599
9/1/1977,6.579
9/2/1977,6.539
9/6/1977,6.529
9/7/1977,6.549
9/8/1977,6.549
9/9/1977,6.679
9/12/1977,6.789
9/13/1977,6.759
9/14/1977,6.749
9/15/1977,6.709
9/16/1977,6.689
9/19/1977,6.669
9/20/1977,6.709
9/21/1977,6.719
9/22/1977,6.859
9/23/1977,6.869
9/26/1977,6.899
9/27/1977,6.809
9/28/1977,6.819
9/29/1977,6.799
9/30/1977,6.829
10/3/1977,6.849
10/4/1977,6.849
10/5/1977,6.869
10/6/1977,6.899
10/7/1977,6.969
10/11/1977,7.069
10/12/1977,7.149
10/13/1977,7.199
10/14/1977,7.179
10/17/1977,7.229
10/18/1977,7.239
10/19/1977,7.229
10/20/1977,7.209
10/21/1977,7.229
10/24/1977,7.209
10/25/1977,7.209
10/26/1977,7.179
10/27/1977,7.149
10/28/1977,7.149
10/31/1977,7.239
11/1/1977,7.249
11/2/1977,7.229
11/3/1977,7.229
11/4/1977,7.209
11/7/1977,7.179
11/9/1977,7.169
11/10/1977,7.159
11/14/1977,7.109
11/15/1977,7.119
11/16/1977,7.129
11/17/1977,7.109
11/18/1977,7.119
11/21/1977,7.129
11/22/1977,7.149
11/23/1977,7.119
11/25/1977,7.109
11/28/1977,7.119
11/29/1977,7.119
11/30/1977,7.119
12/1/1977,7.139
12/2/1977,7.159
12/5/1977,7.159
12/6/1977,7.159
12/7/1977,7.169
12/8/1977,7.169
12/9/1977,7.159
12/12/1977,7.169
12/13/1977,7.169
12/14/1977,7.169
12/15/1977,7.149
12/16/1977,7.139
12/19/1977,7.139
12/20/1977,7.149
12/21/1977,7.169
12/22/1977,7.269
12/23/1977,7.249
1/3/1978,7.249
1/4/1978,7.249
1/5/1978,7.269
1/6/1978,7.289
1/9/1978,7.589
1/10/1978,7.589
1/11/1978,7.609
1/12/1978,7.609
1/13/1978,7.579
1/16/1978,7.559
1/17/1978,7.549
1/18/1978,7.549
1/19/1978,7.559
1/20/1978,7.559
1/23/1978,7.539
1/24/1978,7.539
1/25/1978,7.539
1/26/1978,7.519
1/27/1978,7.489
1/30/1978,7.479
1/31/1978,7.479
2/1/1978,7.479
2/2/1978,7.489
2/3/1978,7.489
2/6/1978,7.509
2/7/1978,7.529
2/8/1978,7.529
2/9/1978,7.529
2/10/1978,7.539
2/14/1978,7.579
2/15/1978,7.599
2/16/1978,7.649
2/17/1978,7.639
2/21/1978,7.659
2/22/1978,7.659
2/23/1978,7.659
2/24/1978,7.619
2/27/1978,7.599
2/28/1978,7.579
3/1/1978,7.599
3/2/1978,7.599
3/3/1978,7.599
3/6/1978,7.589
3/7/1978,7.569
3/8/1978,7.549
3/9/1978,7.569
3/10/1978,7.549
3/13/1978,7.549
3/14/1978,7.549
3/15/1978,7.549
3/16/1978,7.549
3/17/1978,7.559
3/20/1978,7.539
3/21/1978,7.539
3/22/1978,7.549
3/23/1978,7.569
3/27/1978,7.619
3/28/1978,7.649
3/29/1978,7.649
3/30/1978,7.649
3/31/1978,7.709
4/3/1978,7.699
4/4/1978,7.699
4/5/1978,7.729
4/6/1978,7.739
4/7/1978,7.729
4/10/1978,7.729
4/11/1978,7.719
4/12/1978,7.699
4/13/1978,7.679
4/14/1978,7.619
4/17/1978,7.609
4/18/1978,7.629
4/19/1978,7.779
4/20/1978,7.799
4/21/1978,7.819
4/24/1978,7.829
4/25/1978,7.809
4/26/1978,7.859
4/27/1978,7.899
4/28/1978,7.979
5/1/1978,7.919
5/2/1978,7.919
5/3/1978,7.919
5/4/1978,7.909
5/5/1978,7.969
5/8/1978,7.989
5/9/1978,7.989
5/10/1978,7.989
5/11/1978,8.009
5/12/1978,8.009
5/15/1978,7.989
5/16/1978,7.979
5/17/1978,7.989
5/18/1978,8.049
5/19/1978,8.079
5/22/1978,8.079
5/23/1978,8.079
5/24/1978,8.109
5/25/1978,8.109
5/26/1978,8.109
5/31/1978,8.129
6/1/1978,8.129
6/2/1978,8.099
6/5/1978,8.079
6/6/1978,8.079
6/7/1978,8.079
6/8/1978,8.079
6/9/1978,8.099
6/12/1978,8.119
6/13/1978,8.119
6/14/1978,8.129
6/15/1978,8.129
6/16/1978,8.199
6/19/1978,8.259
6/20/1978,8.279
6/21/1978,8.419
6/22/1978,8.419
6/23/1978,8.449
6/26/1978,8.489
6/27/1978,8.449
6/28/1978,8.449
6/29/1978,8.429
6/30/1978,8.489
7/3/1978,8.449
7/5/1978,8.449
7/6/1978,8.449
7/7/1978,8.479
7/10/1978,8.509
7/11/1978,8.489
7/12/1978,8.489
7/13/1978,8.509
7/14/1978,8.519
7/17/1978,8.489
7/18/1978,8.469
7/19/1978,8.469
7/20/1978,8.509
7/21/1978,8.599
7/24/1978,8.579
7/25/1978,8.559
7/26/1978,8.529
7/27/1978,8.479
7/28/1978,8.459
7/31/1978,8.479
8/1/1978,8.459
8/2/1978,8.409
8/3/1978,8.269
8/4/1978,8.269
8/7/1978,8.189
8/8/1978,8.199
8/9/1978,8.179
8/10/1978,8.249
8/11/1978,8.259
8/14/1978,8.299
8/15/1978,8.299
8/16/1978,8.509
8/17/1978,8.489
8/18/1978,8.509
8/21/1978,8.479
8/22/1978,8.479
8/23/1978,8.429
8/24/1978,8.419
8/25/1978,8.419
8/28/1978,8.419
8/29/1978,8.449
8/30/1978,8.489
8/31/1978,8.469
9/1/1978,8.509
9/5/1978,8.469
9/6/1978,8.449
9/7/1978,8.449
9/8/1978,8.469
9/11/1978,8.439
9/12/1978,8.459
9/13/1978,8.459
9/14/1978,8.459
9/15/1978,8.499
9/18/1978,8.529
9/19/1978,8.549
9/20/1978,8.609
9/21/1978,8.699
9/22/1978,8.739
9/25/1978,8.759
9/26/1978,8.759
9/27/1978,8.749
9/28/1978,8.729
9/29/1978,8.709
10/2/1978,8.719
10/3/1978,8.699
10/4/1978,8.699
10/5/1978,8.699
10/6/1978,8.699
10/10/1978,8.709
10/11/1978,8.709
10/12/1978,8.699
10/13/1978,8.699
10/16/1978,8.739
10/17/1978,8.779
10/18/1978,8.839
10/19/1978,8.849
10/20/1978,8.859
10/23/1978,8.849
10/24/1978,8.859
10/25/1978,8.969
10/26/1978,9.059
10/27/1978,9.129
11/1/1978,9.449
11/2/1978,9.429
11/3/1978,9.499
11/6/1978,9.459
11/8/1978,9.499
11/9/1978,9.509
11/10/1978,9.469
11/13/1978,9.409
11/14/1978,9.419
11/15/1978,9.349
11/16/1978,9.219
11/17/1978,9.199
11/20/1978,9.199
11/21/1978,9.239
11/22/1978,9.379
11/24/1978,9.609
11/27/1978,9.609
11/28/1978,9.609
11/29/1978,9.559
11/30/1978,9.559
12/1/1978,9.509
12/4/1978,9.519
12/5/1978,9.509
12/6/1978,9.509
12/7/1978,9.509
12/8/1978,9.519
12/11/1978,9.529
12/12/1978,9.529
12/13/1978,9.549
12/14/1978,9.549
12/15/1978,9.589
12/18/1978,9.869
12/19/1978,9.919
12/20/1978,9.969
12/21/1978,9.989
12/22/1978,9.969
12/26/1978,9.989
12/27/1978,9.989
12/28/1978,9.989
12/29/1978,9.989
1/2/1979,10.009
1/3/1979,9.989
1/4/1979,9.889
1/5/1979,9.879
1/8/1979,9.929
1/9/1979,9.929
1/10/1979,9.949
1/11/1979,9.929
1/12/1979,9.929
1/15/1979,9.919
1/16/1979,9.929
1/17/1979,9.919
1/18/1979,9.929
1/19/1979,9.919
1/22/1979,9.869
