Date,SP500
1993-01-29,24.4525203704834
1993-02-01,24.626422882080078
1993-02-02,24.678600311279297
1993-02-03,24.939476013183594
1993-02-04,25.043834686279297
1993-02-05,25.02644157409668
1993-02-08,25.02644157409668
1993-02-09,24.852521896362305
1993-02-10,24.887298583984375
1993-02-11,25.00905418395996
1993-02-12,24.817737579345703
1993-02-16,24.19162940979004
1993-02-17,24.174253463745117
1993-02-18,24.1568660736084
1993-02-19,24.243804931640625
1993-02-22,24.330780029296875
1993-02-23,24.313390731811523
1993-02-24,24.626422882080078
1993-02-25,24.678600311279297
1993-02-26,24.713397979736328
1993-03-01,24.643827438354492
1993-03-02,25.00905418395996
1993-03-03,25.113405227661133
1993-03-04,24.974262237548828
1993-03-05,24.904699325561523
1993-03-08,25.46122932434082
1993-03-09,25.374265670776367
1993-03-10,25.426454544067383
1993-03-11,25.356882095336914
1993-03-12,25.096012115478516
1993-03-15,25.21774673461914
1993-03-16,25.21774673461914
1993-03-17,25.06121063232422
1993-03-18,25.21774673461914
1993-03-19,25.179584503173828
1993-03-22,25.039793014526367
1993-03-23,25.092214584350586
1993-03-24,25.092214584350586
1993-03-25,25.249479293823242
1993-03-26,25.109678268432617
1993-03-29,25.21452522277832
1993-03-30,25.2844181060791
1993-03-31,25.26695442199707
1993-04-01,25.179584503173828
1993-04-02,24.655372619628906
1993-04-05,24.777698516845703
1993-04-06,24.70779037475586
1993-04-07,24.795166015625
1993-04-08,24.760210037231445
1993-04-12,25.109678268432617
1993-04-13,25.162105560302734
1993-04-14,25.127164840698242
1993-04-15,25.127164840698242
1993-04-16,25.127164840698242
1993-04-19,25.022327423095703
1993-04-20,24.899999618530273
1993-04-21,24.882526397705078
1993-04-22,24.567996978759766
1993-04-23,24.46316146850586
1993-04-26,24.270946502685547
1993-04-27,24.533063888549805
1993-04-28,24.480648040771484
1993-04-29,24.585474014282227
1993-04-30,24.62042236328125
1993-05-03,24.777698516845703
1993-05-04,24.86505699157715
1993-05-05,24.93494987487793
1993-05-06,24.847593307495117
1993-05-07,24.795166015625
1993-05-10,24.847593307495117
1993-05-11,24.952425003051758
1993-05-12,24.917484283447266
1993-05-13,24.62042236328125
1993-05-14,24.60296058654785
1993-05-17,24.690324783325195
1993-05-18,24.672834396362305
1993-05-19,25.179584503173828
1993-05-20,25.249479293823242
1993-05-21,25.022327423095703
1993-05-24,25.127164840698242
1993-05-25,25.179584503173828
1993-05-26,25.494115829467773
1993-05-27,25.406742095947266
1993-05-28,25.2844181060791
1993-06-01,25.5290584564209
1993-06-02,25.494115829467773
1993-06-03,25.406742095947266
1993-06-04,25.31939125061035
1993-06-07,25.23199462890625
1993-06-08,25.004850387573242
1993-06-09,25.092214584350586
1993-06-10,25.109678268432617
1993-06-11,25.21452522277832
1993-06-14,25.179584503173828
1993-06-15,25.127164840698242
1993-06-16,25.179584503173828
1993-06-17,25.26695442199707
1993-06-18,25.058874130249023
1993-06-21,25.11166763305664
1993-06-22,25.129262924194336
1993-06-23,24.900497436523438
1993-06-24,25.234861373901367
1993-06-25,25.217254638671875
1993-06-28,25.498830795288086
1993-06-29,25.375638961791992
1993-06-30,25.375638961791992
1993-07-01,25.30525016784668
1993-07-02,25.164478302001953
1993-07-06,24.900497436523438
1993-07-07,24.970901489257812
1993-07-08,25.25244903564453
1993-07-09,25.32283592224121
1993-07-12,25.30525016784668
1993-07-13,25.287633895874023
1993-07-14,25.375638961791992
1993-07-15,25.27004623413086
1993-07-16,25.199665069580078
1993-07-19,25.182065963745117
1993-07-20,25.25244903564453
1993-07-21,25.234861373901367
1993-07-22,25.058874130249023
1993-07-23,25.182065963745117
1993-07-26,25.32283592224121
1993-07-27,25.30525016784668
1993-07-28,25.25244903564453
1993-07-29,25.39322280883789
1993-07-30,25.25244903564453
1993-08-02,25.32283592224121
1993-08-03,25.34043312072754
1993-08-04,25.34043312072754
1993-08-05,25.287633895874023
1993-08-06,25.32283592224121
1993-08-09,25.46361541748047
1993-08-10,25.44603157043457
1993-08-11,25.44603157043457
1993-08-12,25.375638961791992
1993-08-13,25.41082000732422
1993-08-16,25.55162811279297
1993-08-17,25.63960075378418
1993-08-18,25.78038215637207
1993-08-19,25.78038215637207
1993-08-20,25.79798126220703
1993-08-23,25.745189666748047
1993-08-24,26.026758193969727
1993-08-25,26.044334411621094
1993-08-26,26.061941146850586
1993-08-27,26.044334411621094
1993-08-30,26.14990997314453
1993-08-31,26.22030258178711
1993-09-01,26.18511390686035
1993-09-02,26.09712791442871
1993-09-03,26.114727020263672
1993-09-07,25.938758850097656
1993-09-08,25.850765228271484
1993-09-09,25.903560638427734
1993-09-10,26.13232421875
1993-09-13,26.14990997314453
1993-09-14,26.044334411621094
1993-09-15,26.114727020263672
1993-09-16,26.0091495513916
1993-09-17,25.958711624145508
1993-09-20,25.746225357055664
1993-09-21,25.65770721435547
1993-09-22,25.87019920349121
1993-09-23,26.011829376220703
1993-09-24,25.94099998474121
1993-09-27,26.224313735961914
1993-09-28,26.17119026184082
1993-09-29,26.082666397094727
1993-09-30,26.0295352935791
1993-10-01,26.153484344482422
