Date,ASML
1998-07-20,3.697997808456421
1998-07-21,3.641366958618164
1998-07-22,3.6017262935638428
1998-07-23,3.1996448040008545
1998-07-24,3.080721616744995
1998-07-27,3.058072328567505
1998-07-28,3.160004138946533
1998-07-29,3.244950294494629
1998-07-30,3.363877058029175
1998-07-31,3.312910795211792
1998-08-03,3.143017053604126
1998-08-04,3.165668487548828
1998-08-05,3.126027822494507
1998-08-06,3.1147024631500244
1998-08-07,3.3412225246429443
1998-08-10,3.307246208190918
1998-08-11,3.063732385635376
1998-08-12,3.143017053604126
1998-08-13,3.1147024631500244
1998-08-14,3.0863866806030273
1998-08-17,3.058072328567505
1998-08-18,3.171329975128174
1998-08-19,3.1147024631500244
1998-08-20,2.9164938926696777
1998-08-21,2.797567129135132
1998-08-24,2.73527193069458
1998-08-25,2.8768489360809326
1998-08-26,2.6616549491882324
1998-08-27,2.6050243377685547
1998-08-28,2.4917619228363037
1998-08-31,2.2369229793548584
1998-09-01,2.1010055541992188
1998-09-02,2.265237808227539
1998-09-03,2.0896799564361572
1998-09-04,2.1236612796783447
1998-09-07,2.293553352355957
1998-09-08,2.316204786300659
1998-09-09,2.163301706314087
1998-09-10,1.999072551727295
1998-09-11,2.04437518119812
1998-09-14,1.9934083223342896
1998-09-15,1.982084035873413
1998-09-16,1.8914722204208374
1998-09-17,1.7442336082458496
1998-09-18,1.7385694980621338
1998-09-21,1.5573512315750122
1998-09-22,1.7385694980621338
1998-09-23,1.8688210248947144
1998-09-24,1.8631566762924194
1998-09-25,1.7385694980621338
1998-09-28,1.7951998710632324
1998-09-29,1.8801465034484863
1998-09-30,1.7159148454666138
1998-10-01,1.5800018310546875
1998-10-02,1.6026564836502075
1998-10-05,1.5856670141220093
1998-10-06,1.551686406135559
1998-10-07,1.5007195472717285
1998-10-08,1.3591423034667969
1998-10-09,1.3591423034667969
1998-10-12,1.4554146528244019
1998-10-13,1.574340581893921
1998-10-14,1.6876035928726196
1998-10-15,1.7951998710632324
1998-10-16,1.9481028318405151
1998-10-19,1.919787883758545
1998-10-20,2.0613646507263184
1998-10-21,2.134986400604248
1998-10-22,2.2425825595855713
1998-10-23,2.5370638370513916
1998-10-26,2.28222393989563
1998-10-27,2.4521172046661377
1998-10-28,2.3728346824645996
1998-10-29,2.4860968589782715
1998-10-30,2.6843056678771973
1998-11-02,2.5710442066192627
1998-11-03,2.5710442066192627
1998-11-04,2.5370638370513916
1998-11-05,2.6276743412017822
1998-11-06,2.769252061843872
1998-11-09,2.8598625659942627
1998-11-10,2.6616549491882324
1998-11-11,3.0240907669067383
1998-11-12,2.97312068939209
1998-11-13,2.9391446113586426
1998-11-16,2.922154664993286
1998-11-17,2.854198932647705
1998-11-18,2.820218086242676
1998-11-19,2.922154664993286
1998-11-20,3.063732385635376
1998-11-23,3.143017053604126
1998-11-24,3.171329975128174
1998-11-25,3.244950294494629
1998-11-26,3.2676045894622803
1998-11-27,3.2676045894622803
1998-11-30,3.154343366622925
1998-12-01,2.8711884021759033
1998-12-02,2.8032310009002686
1998-12-03,3.273266315460205
1998-12-04,3.363877058029175
1998-12-07,3.2619409561157227
1998-12-08,3.4205071926116943
1998-12-09,3.3752028942108154
1998-12-10,3.284595251083374
1998-12-11,2.9957752227783203
1998-12-14,2.9334802627563477
1998-12-15,2.8825135231018066
1998-12-16,2.9278197288513184
1998-12-17,2.8598625659942627
1998-12-18,3.029752731323242
1998-12-21,3.188319444656372
1998-12-22,3.193984031677246
1998-12-23,3.171329975128174
1998-12-24,3.188319444656372
1998-12-25,3.188319444656372
1998-12-28,3.273266315460205
1998-12-29,3.2279598712921143
1998-12-30,3.250615358352661
1998-12-31,3.250615358352661
1999-01-01,3.250615358352661
1999-01-04,3.3633079528808594
1999-01-05,3.5567500591278076
1999-01-06,4.505204677581787
1999-01-07,4.542643070220947
1999-01-08,4.3554463386535645
1999-01-11,4.3492326736450195
1999-01-12,4.305540084838867
1999-01-13,4.186968803405762
1999-01-14,4.361699104309082
1999-01-15,4.436577320098877
1999-01-18,4.623775959014893
1999-01-19,4.492738246917725
1999-01-20,4.480268478393555
1999-01-21,4.52392578125
1999-01-22,4.636241912841797
1999-01-25,4.736093997955322
1999-01-26,4.630027770996094
1999-01-27,4.736093997955322
1999-01-28,4.698655128479004
1999-01-29,4.873384952545166
1999-02-01,5.098021030426025
1999-02-02,4.842159271240234
1999-02-03,4.698655128479004
1999-02-04,5.035609245300293
1999-02-05,4.892104148864746
1999-02-08,5.073049068450928
1999-02-09,5.116740703582764
1999-02-10,4.898319721221924
1999-02-11,4.948263168334961
1999-02-12,5.01063871383667
1999-02-15,4.942009449005127
1999-02-16,5.104235649108887
1999-02-17,5.01063871383667
1999-02-18,4.842159271240234
1999-02-19,4.817226886749268
1999-02-22,4.904571533203125
1999-02-23,4.942009449005127
1999-02-24,4.929543972015381
1999-02-25,5.066796779632568
1999-02-26,4.673680782318115
1999-03-01,4.405391693115234
1999-03-02,4.498989582061768
1999-03-03,4.498989582061768
1999-03-04,4.480268478393555
1999-03-05,4.5364298820495605
1999-03-08,4.611310005187988
1999-03-09,4.673680782318115
1999-03-10,4.548896312713623
1999-03-11,4.742346286773682
1999-03-12,4.6674675941467285
1999-03-15,4.742346286773682
1999-03-16,5.035609245300293
1999-03-17,5.191620349884033
1999-03-18,5.310153484344482
1999-03-19,5.472416400909424
1999-03-22,5.260246753692627
1999-03-23,5.154180526733398
1999-03-24,4.885851860046387
1999-03-25,5.172900199890137
1999-03-26,5.029356956481934
1999-03-29,5.029356956481934
