Date,APPLE
1980-12-12,0.09872595965862274
1980-12-15,0.09357533603906631
1980-12-16,0.08670712262392044
1980-12-17,0.08885318040847778
1980-12-18,0.09142925590276718
1980-12-19,0.09700906276702881
1980-12-22,0.10173041373491287
1980-12-23,0.10602343082427979
1980-12-24,0.11160318553447723
1980-12-26,0.12190514802932739
1980-12-29,0.12362200766801834
1980-12-30,0.12061752378940582
1980-12-31,0.11718379706144333
1981-01-02,0.1184714287519455
1981-01-05,0.11589612066745758
1981-01-06,0.11074470728635788
1981-01-07,0.10602343082427979
1981-01-08,0.10387728363275528
1981-01-09,0.10945712774991989
1981-01-12,0.10859868675470352
1981-01-13,0.10473570972681046
1981-01-14,0.10516497492790222
1981-01-15,0.10731101036071777
1981-01-16,0.10645262897014618
1981-01-19,0.11289077997207642
1981-01-20,0.10945712774991989
1981-01-21,0.11160318553447723
1981-01-22,0.11289077997207642
1981-01-23,0.1124616339802742
1981-01-26,0.11074470728635788
1981-01-27,0.1098862811923027
1981-01-28,0.10645262897014618
1981-01-29,0.10258963704109192
1981-01-30,0.09700906276702881
1981-02-02,0.09142925590276718
1981-02-03,0.09486295282840729
1981-02-04,0.09829673171043396
1981-02-05,0.09829673171043396
1981-02-06,0.09872595965862274
1981-02-09,0.09357533603906631
1981-02-10,0.09357533603906631
1981-02-11,0.09057080745697021
1981-02-12,0.08971156179904938
1981-02-13,0.08756554126739502
1981-02-17,0.08971156179904938
1981-02-18,0.09357533603906631
1981-02-19,0.0879947617650032
1981-02-20,0.08327338099479675
1981-02-23,0.08456099778413773
1981-02-24,0.08155650645494461
1981-02-25,0.08670712262392044
1981-02-26,0.0879947617650032
1981-02-27,0.091000035405159
1981-03-02,0.09142925590276718
1981-03-03,0.09014159440994263
1981-03-04,0.08928240090608597
1981-03-05,0.08885318040847778
1981-03-06,0.0879947617650032
1981-03-09,0.08112728595733643
1981-03-10,0.07726357132196426
1981-03-11,0.07425907254219055
1981-03-12,0.07726357132196426
1981-03-13,0.07640513777732849
1981-03-16,0.07941041141748428
1981-03-17,0.08327338099479675
1981-03-18,0.08842397481203079
1981-03-19,0.08756554126739502
1981-03-20,0.08842397481203079
1981-03-23,0.09185845404863358
1981-03-24,0.09142925590276718
1981-03-25,0.08971156179904938
1981-03-26,0.0879947617650032
1981-03-27,0.0849902406334877
1981-03-30,0.0849902406334877
1981-03-31,0.08413182944059372
1981-04-01,0.08327338099479675
1981-04-02,0.09057080745697021
1981-04-03,0.091000035405159
1981-04-06,0.08928240090608597
1981-04-07,0.08842397481203079
1981-04-08,0.09271693974733353
1981-04-09,0.09443376213312149
1981-04-10,0.09572140872478485
1981-04-13,0.09572140872478485
1981-04-14,0.09572140872478485
1981-04-15,0.091000035405159
1981-04-16,0.08584864437580109
1981-04-20,0.08842397481203079
1981-04-21,0.09443376213312149
1981-04-22,0.09786752611398697
1981-04-23,0.1004427820444107
1981-04-24,0.09958433359861374
1981-04-27,0.09872595965862274
1981-04-28,0.09700906276702881
1981-04-29,0.09572140872478485
1981-04-30,0.0974382683634758
1981-05-01,0.0974382683634758
1981-05-04,0.09700906276702881
1981-05-05,0.09657984226942062
1981-05-06,0.0940045565366745
1981-05-07,0.09529218822717667
1981-05-08,0.09615062177181244
1981-05-11,0.0940045565366745
1981-05-12,0.0940045565366745
1981-05-13,0.09357533603906631
1981-05-14,0.09228766709566116
1981-05-15,0.09443376213312149
1981-05-18,0.09615062177181244
1981-05-19,0.09443376213312149
1981-05-20,0.0974382683634758
1981-05-21,0.1030188575387001
1981-05-22,0.10774026066064835
1981-05-26,0.10731101036071777
1981-05-27,0.1133200004696846
1981-05-28,0.1133200004696846
1981-05-29,0.11374925076961517
1981-06-01,0.11374925076961517
1981-06-02,0.10816945880651474
1981-06-03,0.10816945880651474
1981-06-04,0.11031557619571686
1981-06-05,0.10859868675470352
1981-06-08,0.10473570972681046
1981-06-09,0.10688180476427078
1981-06-10,0.10816945880651474
1981-06-11,0.11289077997207642
1981-06-12,0.11160318553447723
1981-06-15,0.11117396503686905
1981-06-16,0.10902783274650574
1981-06-17,0.10731101036071777
1981-06-18,0.10688180476427078
1981-06-19,0.10387728363275528
1981-06-22,0.1000136062502861
1981-06-23,0.10173041373491287
1981-06-24,0.09915515780448914
1981-06-25,0.10130124539136887
1981-06-26,0.1000136062502861
1981-06-29,0.09657984226942062
1981-06-30,0.08928240090608597
1981-07-01,0.08842397481203079
1981-07-02,0.08842397481203079
1981-07-06,0.0854194387793541
1981-07-07,0.08627787977457047
1981-07-08,0.08971156179904938
1981-07-09,0.08284419029951096
1981-07-10,0.07640513777732849
1981-07-13,0.07812278717756271
1981-07-14,0.08155650645494461
1981-07-15,0.08370257914066315
1981-07-16,0.08584864437580109
1981-07-17,0.08885318040847778
1981-07-20,0.08284419029951096
1981-07-21,0.08241492509841919
1981-07-22,0.07769278436899185
1981-07-23,0.07983963191509247
1981-07-24,0.08241492509841919
1981-07-27,0.08584864437580109
1981-07-28,0.08284419029951096
1981-07-29,0.08155650645494461
1981-07-30,0.08456099778413773
1981-07-31,0.08584864437580109
1981-08-03,0.0849902406334877
1981-08-04,0.08627787977457047
1981-08-05,0.08885318040847778
1981-08-06,0.08670712262392044
1981-08-07,0.08670712262392044
1981-08-10,0.08670712262392044
1981-08-11,0.08413182944059372
1981-08-12,0.08241492509841919
1981-08-13,0.07983963191509247
1981-08-14,0.0785520002245903
1981-08-17,0.0759759247303009
1981-08-18,0.07425907254219055
1981-08-19,0.0734005868434906
1981-08-20,0.07425907254219055
