Date,MICROSOFT
1986-03-13,0.059707023203372955
1986-03-14,0.06183928996324539
1986-03-17,0.06290604174137115
1986-03-18,0.06130620464682579
1986-03-19,0.06024009734392166
1986-03-20,0.05864087864756584
1986-03-21,0.05704166367650032
1986-03-24,0.05544250085949898
1986-03-25,0.05650864914059639
1986-03-26,0.058107826858758926
1986-03-27,0.059173960238695145
1986-03-31,0.05864087864756584
1986-04-01,0.058107826858758926
1986-04-02,0.05864087864756584
1986-04-03,0.059173960238695145
1986-04-04,0.059173960238695145
1986-04-07,0.058107826858758926
1986-04-08,0.05864087864756584
1986-04-09,0.059707023203372955
1986-04-10,0.06024009734392166
1986-04-11,0.06130620464682579
1986-04-14,0.06183928996324539
1986-04-15,0.06183928996324539
1986-04-16,0.06397213786840439
1986-04-17,0.06450523436069489
1986-04-18,0.062372975051403046
1986-04-21,0.062372975051403046
1986-04-22,0.06130620464682579
1986-04-23,0.061572760343551636
1986-04-24,0.06770361959934235
1986-04-25,0.07196873426437378
1986-04-28,0.07250184565782547
1986-04-29,0.07036896049976349
1986-04-30,0.06876976042985916
1986-05-01,0.06770361959934235
1986-05-02,0.06770361959934235
1986-05-05,0.06717055290937424
1986-05-06,0.06770361959934235
1986-05-07,0.06770361959934235
1986-05-08,0.06823667138814926
1986-05-09,0.06770361959934235
1986-05-12,0.06823667138814926
1986-05-13,0.06876976042985916
1986-05-14,0.06823667138814926
1986-05-15,0.06823667138814926
1986-05-16,0.06876976042985916
1986-05-19,0.06770361959934235
1986-05-20,0.06717055290937424
1986-05-21,0.06610441207885742
1986-05-22,0.06610441207885742
1986-05-23,0.06610441207885742
1986-05-27,0.06823667138814926
1986-05-28,0.07036896049976349
1986-05-29,0.07196873426437378
1986-05-30,0.07463409751653671
1986-06-02,0.07250184565782547
1986-06-03,0.07250184565782547
1986-06-04,0.07196873426437378
1986-06-05,0.07303491234779358
1986-06-06,0.07303491234779358
1986-06-09,0.06983589380979538
1986-06-10,0.06983589380979538
1986-06-11,0.06983589380979538
1986-06-12,0.06717055290937424
1986-06-13,0.06717055290937424
1986-06-16,0.06663749366998672
1986-06-17,0.06770361959934235
1986-06-18,0.06717055290937424
1986-06-19,0.06663749366998672
1986-06-20,0.06690400838851929
1986-06-23,0.06770361959934235
1986-06-24,0.06717055290937424
1986-06-25,0.06610441207885742
1986-06-26,0.06397213786840439
1986-06-27,0.06343909353017807
1986-06-30,0.06557133793830872
1986-07-01,0.06557133793830872
1986-07-02,0.06557133793830872
1986-07-03,0.06663749366998672
1986-07-07,0.06397213786840439
1986-07-08,0.062372975051403046
1986-07-09,0.059707023203372955
1986-07-10,0.058107826858758926
1986-07-11,0.059707023203372955
1986-07-14,0.05890741944313049
1986-07-15,0.059707023203372955
1986-07-16,0.06183928996324539
1986-07-17,0.06290604174137115
1986-07-18,0.06343909353017807
1986-07-21,0.06343909353017807
1986-07-22,0.06557133793830872
1986-07-23,0.06397213786840439
1986-07-24,0.06610441207885742
1986-07-25,0.06663749366998672
1986-07-28,0.065038301050663
1986-07-29,0.06343909353017807
1986-07-30,0.06130620464682579
1986-07-31,0.06077316775918007
1986-08-01,0.06024009734392166
1986-08-04,0.06024009734392166
1986-08-05,0.059707023203372955
1986-08-06,0.059173960238695145
1986-08-07,0.05864087864756584
1986-08-08,0.059173960238695145
1986-08-11,0.06130620464682579
1986-08-12,0.06290604174137115
1986-08-13,0.06343909353017807
1986-08-14,0.065038301050663
1986-08-15,0.06530482321977615
1986-08-18,0.06450523436069489
1986-08-19,0.06450523436069489
1986-08-20,0.06397213786840439
1986-08-21,0.06397213786840439
1986-08-22,0.06290604174137115
1986-08-25,0.06290604174137115
1986-08-26,0.062372975051403046
1986-08-27,0.062372975051403046
1986-08-28,0.062372975051403046
1986-08-29,0.06077316775918007
1986-09-02,0.059173960238695145
1986-09-03,0.05757475271821022
1986-09-04,0.062372975051403046
1986-09-05,0.065038301050663
1986-09-08,0.06450523436069489
1986-09-09,0.06557133793830872
1986-09-10,0.06450523436069489
1986-09-11,0.06183928996324539
1986-09-12,0.06024009734392166
1986-09-15,0.06130620464682579
1986-09-16,0.06130620464682579
1986-09-17,0.06290604174137115
1986-09-18,0.06343909353017807
1986-09-19,0.06343909353017807
1986-09-22,0.06290604174137115
1986-09-23,0.06397213786840439
1986-09-24,0.0631725937128067
1986-09-25,0.06183928996324539
1986-09-26,0.06183928996324539
1986-09-29,0.06024009734392166
1986-09-30,0.06024009734392166
1986-10-01,0.059707023203372955
1986-10-02,0.059707023203372955
1986-10-03,0.06024009734392166
1986-10-06,0.065038301050663
1986-10-07,0.06637093424797058
1986-10-08,0.06823667138814926
1986-10-09,0.07036896049976349
1986-10-10,0.0735679566860199
1986-10-13,0.07036896049976349
1986-10-14,0.07143507897853851
1986-10-15,0.07463409751653671
1986-10-16,0.07463409751653671
1986-10-17,0.07676635682582855
1986-10-20,0.07729939371347427
1986-10-21,0.08049779385328293
1986-10-22,0.08049779385328293
1986-10-23,0.08049779385328293
1986-10-24,0.07996470481157303
1986-10-27,0.08263066411018372
1986-10-28,0.08449642360210419
1986-10-29,0.08209758996963501
1986-10-30,0.08369679003953934
1986-10-31,0.08263066411018372
1986-11-03,0.08422987908124924
1986-11-04,0.0874282643198967
1986-11-05,0.09275953471660614
1986-11-06,0.094891756772995
1986-11-07,0.09435868263244629
1986-11-10,0.09062668681144714
1986-11-11,0.0911603644490242
1986-11-12,0.0911603644490242
1986-11-13,0.0898270457983017
1986-11-14,0.09062668681144714
1986-11-17,0.0911603644490242
